㨚 xún (sǔn)
㨛 shǎn (shàn)
㨨 chōu (liù)
㨪 huàng (huǎng)
㨳 guǐ (jì)
㨹 huì (xuě)
㨺 miǎn (mén)
㨻 cán (shǎn)|(zàn)|(chàn)
㩆 jiù (zú)
㩇 huò (zuó)|(huá)
㩉 dá (lā)|(xī)|(xié)
㩋 xiāo (sù)
㩠 āo (piǎo)|(póu)
㩢 miè (mì)
㩦 xié (xī)
㩴 jú (qú)
㩻 qī (guì)|(guǐ)
㩽 qí (chì)|(è)
㩾 zhuì (qí)
㪁 qín (kān)|(qiàn)|(qián)
㪋 hàn (hě)
㪍 bó (bèi)
㪎 shǎn (nà)
㪕 diào (chuò)
㪜 chuǎi (duǒ)
㪠 qiān (qiàn)|(jiān)
㪡 kài (kě)
㪣 xiāo (qiāo)
㪬 chuō (zhuó)
㪾 luò (gé)
㫊 yǐ (ě)
㫍 yóu (yǎo)
㫎 huī (gǔn)
㫑 zhǐ (shí)
㫰 làng (lǎng)
㫱 nǎn (nàn)
㬐 jìn (zī)
㬝 céng (sōng)
㬠 shài (shà)
㬥 pù (bó)
㬻 huāng (hāng)|(huǎng)
㭘 gé (hé)
㭛 pài (bà)
㭝 qiú (òu)
㭡 xì (xìn)
㭫 cuó (cuán)
㭭 bā (bèi)|(biē)
㭮 zuò (zǎn)
㭯 zhé (dié)
㭰 zuī (zuǐ)
㭺 yǎn (yàn)|(ān)
㮃 wēi (ruí)
㮏 nài (nì)|(nà)
㮐 shěng (sì)
㮑 chā (qì)
㮒 yān (yīn)
㮔 chòng (tóng)
㮛 chí (yí)
㮟 niǎn (kā)
㮥 bèn (fàn)
㮦 suǒ (sè)
㮧 wū (wēn)
㮫 hé (xiá)|(qià)
㮯 hún (huá)
㯅 pí (bī)
㯆 chǎn (shàn)
㯋 jiǒng (yǐng)
㯓 tà (dá)
㯡 pào (páo)
㯥 cáo (zāo)
㯯 gòng (dǎn)|(jù)
㯿 liè (là)
㰃 mián (miàn)
㰅 dí (zhé)
㰟 jì (qì)
㰤 hē (qiè)
㰥 xì (huì)
㰯 kòu (tòu)|(tǒu)|(hòu)
㰰 xiā (qiè)|(hē)
㰲 yū (xù)
㰳 yà (yā)
㰶 yǒu (ǒu)
㰹 xiān (xiàn)|(hǎn)
㰺 xià (xiá)
㰻 yǐ (xī)|(hòu)
㰼 shà (qiè)
㱁 shì (kuǎn)
㱄 hēi (mò)
㱇 sè (xì)
㱌 yé (chè)
㱙 xiǔ (guǎ)
㱛 chuǎn (bù)
㱞 yì (lā)
㱟 pī (pǐ)
㱠 kū (gū)
㱥 líng (lèng)
㱧 wò (yuǎn)
㱶 péng (bēng)
㱽 zhěn (qín)
㱾 gāi (kāi)
㱿 què (hù)|(qiǎng)
㲀 zhēn (chēn)
㲁 kōng (zhōng)
㲈 sháo (táo)
㲒 bào (qú)
㲞 sū (zú)
㲳 dié (zhì)
㲼 yì (chà)
㲽 niàn (rěn)
㳂 yán (yàn)
㳊 yōu (zhōng)
㳗 chài (chà)
㳛 yú (yóu)
㳧 chè (rè)
㳶 nǒu (rǔ)
㳷 hū (mǐn)|(wěn)|(tuì)
㳹 wǎng (wāng)
㳼 bì (yù)
㴇 shè (máng)
㴐 miàn (miǎn)
㴔 xī (yì)|(sè)
㴙 zhǎ (zhá)
㴫 jùn (yá)
㴶 què (hú)
㵄 hàn (yù)
㵅 tān (tàn)
㵒 fèi (pài)|(bì)
㵧 gé (yì)
㵨 pì (bó)
㵪 xián (yàn)|(yán)
㵵 zòu (jù)
㵹 huán (mò)
㵾 qìng (jìng)
㶁 guó (huò)
㶆 zhū (chú)
㶒 shǎn (shěn)|(tàn)
㶗 fàn (fán)
㶡 dài (huǒ)
㶣 chán (yín)
㶼 āi (xī)
㷇 huī (guài)
㷤 hù (xuè)
㷰 chī (lí)
㷹 zhào (shào)
㸅 jié (jí)
㸊 lài (là)
㸒 yín (jīng)
㸚 lǐ (lì)
㸝 xiān (kǎn)
㸦 hù (jià)
㸸 hǒu (ǒu)|(kǒu)
㸹 liè (luō)
㹇 hé (jiān)
㹉 yuán (wán)
㹌 chǎn (shèng)
㹞 yín (yǐn)|(yá)
㹟 jué (kuài)
㹢 jiā (gā)
㹲 xiāo (xiào)
㹻 wō (wēi)
